Дата проведения,Название выставки,Клуб-организатор
3-4 июля 2021г.,«ЛЕТНИЙ КУБОК КОТ-ИНФО»,"КЛК ""КОТ-ИНФО"";"
26-27 июня 2021г.,«3 ОЦЕНКИ ЗА 2 ДНЯ»,"КЛК ""Магия кошек"";"
19-20 июня 2021г.,«ЗВЕЗДА ИЮНЯ»,Ассоциация ВФЦ Астра;
12-13 июня 2021г.,«30 ЛЕТ КУРИЛЬСКИЙ БОБТЕЙЛ»,Клуб любителей кошек «ЭЛИТКЭТ»;
12-13 июня 2021г.,«ЛЕТНИЙ КУБОК БАЙКАЛА»,ИРОО ФК «Черный Кот»;
12 июня 2021г.,«ДЕНЬ РОССИИ НА ОРБИТЕ»,"Клуб любителей кошек ""ОРБИТА"";"
12-13 июня 2021г.,«DENNIS»,КЛК Dennis;
5-6 июня 2021г.,«KOTOFEY + AK BARS»,"КЛК Kotofey, Ak Bars;"
5 июня 2021г.,«ЛЕТНИЙ АЛЬЯНС»,КЛК Альфа и ФК Альянс;
5-6 июня 2021г.,«БОМОНД КОШЕК - 2021»,ФПЦ Зоомир;
30 мая 2021г.,«МАРТОВСКИЙ КОТ»,КЛК МагияКис;
29-30 мая 2021г.,«МИСТЕР КОТ»,МОКЛК Валенсия;
29 мая 2021г.,«АЛЬФА»,Тульский филиал КЛК Альфа;
22-23 мая 2021г.,«МИЛЛИОН ДРУЗЕЙ НАМ 25 ЛЕТ!»,КЛК Баст;
22-23 мая 2021г.,«ANNUAL AWARDS»,ICU;
22-23 мая 2021г.,«РОСКОШНЫЙ КРУИЗ КОТА МАТРОСКИНА»,"""РосКош"";"
22 мая 2021г.,«МЯУ - МАЙ - 2021»,ДОБРЫЙ КОТ;
22-23 мая 2021г.,«ВЕСЕННИЙ БОМОНД»,ФПЦ Кэтти;
15-16 мая 2021г.,«КОСТРОМЯУ»,"ФПЦ ""Августин"";"
15-16 мая 2021г.,«КОТ-ИНФО»,КЛК  Кот-Инфо;
9 мая 2021г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ»,"ЦЕНТР ""КОВЧЕГ"";"
8-9 мая 2021г.,«KATTEN KABINET - 15»,РОО ФЦ Фелис;
1-2 мая 2021г.,«СИНИЧКИНЫ ПОСИДЕЛКИ»,КЛК Лой;
24 апреля 2021г.,«АПРЕЛЬСКАЯ ЛАПЛАНДИЯ»,Pacific Cat Club;
24 апреля 2021г.,"«КОТЫ, ВЕСНА, ЦВЕТЫ!»",КЛК Талисман;
24-25 апреля 2021г.,«ЗВЕЗДА»,Ассоциация ВФЦ Астра;
24 апреля 2021г.,«КОТОМИШКИ»,«Экстра-Кэт»;
18 апреля 2021г.,«КОТОВСТРЕЧА»,ФАЗ КЛК Алиса;
17-18 апреля 2021г.,«КЛК KOTOFEY+AK BARS»,"КЛК Kotofey, Ak Bars;"
17-18 апреля 2021г.,«КОРГОРУШИ»,РФОО Коргоруши;
17-18 апреля 2021г.,«БОМОНД»,КЛК Бомонд;
17 апреля 2021г.,«ВЕСЕННЯЯ КОТОВАСИЯ»,TRI-S Cat Club;
11 апреля 2021г.,«5 ЛЕТ НА ОРБИТЕ»,Фелинологический центр Орбита;
10 апреля 2021г.,«КЭТ СТРОНГ»,«Кэт Стронг»;
10-11 апреля 2021г.,«КЭТ-САЛОН-АПРЕЛЬ»,"Клуб любителей кошек ""Москва"";"
10-11 апреля 2021г.,«CAT SHOW»,Фелинологический Клуб «ТРИУМФ»;
10-11 апреля 2021г.,«ЗВЕЗДНАЯ КОМПАНИЯ»,TRPO FC «Cats & Сompany»;
3-4 апреля 2021г.,«ФЕСТИВАЛЬ»,КЛК Глория;
3-4 апреля 2021г.,«ФЕЛИТА АПРЕЛИССИМА 2021»,БФЦ Фелита;
28 марта 2021г.,«ПЛЕМЕННОЙ СМОТР»,Фелинологический центр «ФЕЛИССЕНТА»;
27 марта 2021г.,«АЛЕКСАНДРОВСКАЯ СЛОБОДА»,Клуб ФРЕЯ;
27-28 марта 2021г.,«ЕВРАЗИЯ-2021»,"УРОФО ""Грация"";"
27-28 марта 2021г.,«BASTET SHOW»,КЛК Баст;
27-28 марта 2021г.,«КУБОК  КОТ-ИНФО»,КЛК Кот-Инфо;
27 марта 2021г.,««КОТОФЕЙ» В ЧУДОВО»,КЛК «Котофей»;
20-21 марта 2021г.,«МАРТОВСКОЕ РАНДЕВУ»,КЛК Параллель;
20-21 марта 2021г.,«ПАМЯТИ ЭЛЬВИРЫ ДИАНОВОЙ»,"КЛК ""Москва"";"
20-21 марта 2021г.,«ВЕСЕННЯЯ КОТОВАСИЯ»,ФПЦ Грация-НН;
26 апреля 2020г.,«УРАЛЬСКИЕ СКАЗЫ»,TRI-S Cat Club;
25-26 апреля 2020г.,«ХРУСТАЛЬНЫЙ КУБОК»,КЛК Глория;
25-26 апреля 2020г.,«ЗВЕЗДА АПРЕЛЯ»,ВФЦ Астра;
25 апреля 2020г.,«КОНФЕТТИ»,КЛК Конфетти	;
18-19 апреля 2020г.,«КОТОФЕЙ&АРКТУР»,"Котофей, Арктур;"
18-19 апреля 2020г.,«КОРГОРУШИ»,РФОО «Коргоруши»;
12 апреля 2020г.,«ВЕСЕННЕЕ РАНДЕВУ - КУБОК FARUS+ICU»,ФПЦ Леопольд;
12 апреля 2020г.,«ПОСВЯЩЕННАЯ ГОДУ 75-ЛЕТИЯ ПОБЕДЫ»,ОРФОО КЛК Фелис	;
11-12 апреля 2020г.,«КУБОК ТЕКСТИЛЬНОГО КРАЯ»,ИРОО ФКЛК Созвездие;
11 апреля 2020г.,«АПРЕЛЬ НА ОРБИТЕ 2020»,ФЦ КЛК Орбита;
11-12 апреля 2020г.,«КЭТ-САЛОН-АПРЕЛЬ»,КЛК Москва	;
11-12 апреля 2020г.,«ТРИУМФ	»,ТPОО ФК Триумф	;
4-5 апреля 2020г.,«КОСМО КОТ»,МОКЛК Валенсия;
4 апреля 2020г.,«СИБИРИАДА 2020»,НП КЛК Котомир;
4-5 апреля 2020г.,«ВЕСЕННИЕ СМОТРИНЫ»,РРОО КЛК ФЦ РосКэт;
4-5 апреля 2020г.,«WORLD OF CATS SPRING - 2020»,Cat-club SPb;
28-29 марта 2020г.,«КЭТ-ПАРАД XII»,КЛК Амулет-Кэт;
28-29 марта 2020г.,«У ЛУКОМОРЬЯ»,ФЦ Алиса;
28 марта 2020г.,«МЫ ЗА БЕРЁЗКИ»,ФЦ Идеальный Кот;
28 марта 2020г.,«20 ВЕСНА 20»,КЛК ЭльГранд;
21-22 марта 2020г.,«ДРУЖНЫЕ СОСЕДИ»,КЛК Созвездие Друзей;
21-22 марта 2020г.,«КЭТ-САЛОН-МАРТ»,КЛК Москва;
21-22 марта 2020г.,«ЗОЛОТОЙ ГЛАМУРР»,РОО КФПЦ Золотой Торум;
14-15 марта 2020г.,«TOP CAT FINAL RUSSIA 2019»,"ООЛЖ Элитар-Клуб, КЛК Ирбис;"
14-15 марта 2020г.,«КУБОК МОСКВЫ - МОСКОВСКАЯ ВЕСНА»,ОБЪЕДИНЕНИЕ ЛЮБИТЕЛЕЙ СИБИРСКИХ КОШЕК ИМ. Т.Е. ПАВЛОВОЙ;
14-15 марта 2020г.,«БАСТЕТ ШОУ»,"КЛК Баст, КЛК Москва;"
14-15 марта 2020г.,«ВЕСЕННИЙ ВЕРНИСАЖ»,ФПЦ Кэтти;
7-8 марта 2020г.,«КУБОК БЕЛОГО ГОРОДА»,КЛК Кошки Белогорья;
7-8 марта 2020г.,«КОТО – ЛЕДИ & ДЖЕНТЛЬМЕНЫ»,КЛК Мега-Центр;
7-8 марта 2020г.,«КУБОК КАМЕННЫЙ ЦВЕТОК»,КЛК Элиткэт;
7-8 марта 2020г.,«КЭТСБУРГ»,"КЛК Китежъ, клуб Chatte Noir CFA, Альянс Супер Кэтс, клуб Crystal, клуб РосКош;"
7-8 марта 2020г.,«СОЗВЕЗДИЕ СИБИРИ 2020»,ФПЦ Zoostar;
7-8 марта 2020г.,«ЗООШОУ ВЕСНА-2020»,Кэт-клуб СПб;
7-8 марта 2020г.,«ХРУСТАЛЬНО – МУРЧАЛЬНЫЙ ПЕРЕЗВОН»,КЛК Саффи;
7-8 марта 2020г.,«ДРУЖЕСКИЕ ВСТРЕЧИ»,КЛК Топ-Лайн;
29 февраля - 1 марта 2020г.,«ASIA CONTINENT SHOW»,КЛК ФЦ Кузбасс Кот;
29 февраля 2020г.,«СИНИЧКИНЫ ПОСИДЕЛКИ»,КЛК Лой;
29 февраля - 1 марта 2020г.,«ВСЁ КОТУ МАСЛЕНИЦА»,КЛК FeliTerra;
29 февраля - 1 марта 2020г.,«ДЕНЬ КОШЕК»,КЛК Бомонд;
29 февраля - 1 марта 2020г.,«КОТОМАНИЯ»,Алиса;
22-23 февраля 2020г.,«КОШАЧИЙ ДЕСАНТ»,КРОО КЛК МагияКис;
22 февраля 2020г.,«ГРАНДИОЗНАЯ КОТОЯРМАРКА»,АФК Грандиозные кошки;
22-23 февраля 2020г.,«КУБОК КОТ-ИНФО»,КЛК Кот-Инфо;
22-23 февраля 2020г.,«МОРОЗНЫЙ ИНЕЙ ФЕВРАЛЯ»,КЛК Котофей;
16 февраля 2020г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ НА ОРБИТЕ»,ФЦ КЛК Орбита;
15-16 февраля 2020г.,«ПАРАЛЛЕЛЬ FEST»,КЛК Параллель;
15-16 февраля 2020г.,«ЗИМНИЙ КАРНАВАЛ»,КЛК Царство Кошек;
15-16 февраля 2020г.,«FELINA BELISSIMA - 11»,МФЦ Фелис;
15-16 февраля 2020г.,«МАГИЯ КОШЕК»,Фрейя;
8-9 февраля 2020г.,«ДЕНЬ ВЛЮБЛЕННЫХ КОТОВ»,ОФО Фрея;
1-2 февраля 2020г.,«ЗИМНИЕ КРАСКИ»,клуб «Акварель»;
25-26 января 2020г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,"РФОО ""Коргоруши"";"
18-19 января 2020г.,«КОТОНАШЕСТВИЕ 2020»,КЛК ФелиТерра;
12 января 2020г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ СИБИРИ»,"КЛК ""Лигра"" и ""Экстра-КЭТ"";"
11-12 января 2020г.,«НОВОГОДНИЙ МЯУ-КАРНАВАЛ»,НП КЛК Кис-Кис;
7-8 января 2020г.,«РОЖДЕСТВЕНСКИЕ КОТЫ»,"НП КЛК «Савой», при поддержке ФК «РосКош»;"
5-6 января 2020г.,«НОВОГОДНЯЯ»,КЛК Ак Барс	;
5 января 2020г.,«РОЖДЕСТВЕНСКИЕ КОШКИ КАЛУГИ»,КЛК Калуга-Бэст;
5-6 января 2020г.,«ГРАН-ПРИ СИБИРИ 2020»,КЛК Королевская династия;
4-6 января 2020г.,«СНЕЖНАЯ ЗВЕЗДА»,ВФЦ АСТРА;
4-5 января 2020г.,«НОВОГОДНЯЯ СКАЗКА - 2020»,КЛК Добрый кот	;
4-5 января 2020г.,«КУБОК НЕВЫ»,КЛК FeliCity	;
4-5 января 2020г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ В СОЧИ»,КЛК Диамант Кристалл	;
3-4 января 2020г.,«КУБОК ЧЕРНОЗЕМЬЯ»,КЛК Баст;
28-29 декабря 2019г.,«НОВОГОДНИЙ ФЕСТИВАЛЬ КОШЕК»,РОО ОКЛК СОЗВЕЗДИЕ Москва	;
28-30 декабря 2019г.,«НОВОГОДНИИ КОШКИ-СУПЕР ШОУ»,КЛК Белиссима;
22 декабря 2019г.,«НОВОГОДНИЙ ПОДАРОК»,"ФПЦ ""Леопольд"";"
21-22 декабря 2019г.,«РОЖДЕСТВО С ПУШИСТЫМИ ДРУЗЬЯМИ!»,КЛК ФЦ Кузбасс Кот;
21-22 декабря 2019г.,«НОВОГОДНЕЕ ЧУДО - 2019»,Клуб ОЛСК;
21-22 декабря 2019г.,«КУБОК ФАРУС»,ФЦ КЛК Орбита;
21-22 декабря 2019г.,«УСАТЫЙ КОРПОРАТИВ»,ООЛЖ Элитар-Клуб;
21-22 декабря 2019г.,«КУБОК НЕВЫ»,КЛК FeliCity;
21-22 декабря 2019г.,«CHRISTMAS CAT»,КЛК TRI-S CAT Club;
14-15 декабря 2019г.,«СУПЕР-ШОУ»,"ФПЦ ""ЗооМир"";"
14-15 декабря 2019г.,«РЕПЕТИЦИЯ НОВОГО ГОДА»,"Фелинологический племенной центр ""Грация-НН"";"
14-15 декабря 2019г.,«ЗОЛОТАЯ КОШКА РОСТОВСКОЙ ОБЛАСТИ»,Клуб Любителей Кошек «ИРБИС»;
14-15 декабря 2019г.,«ЗООШОУ»,АКЛК Котофей;
14-15 декабря 2019г.,«ЗООШОУ РОЖДЕСТВЕНСКАЯ»,Кэт-клуб СПб	;
14-15 декабря 2019г.,«25 ЛЕТ МФА»,КЛК Ирида;
14-15 декабря 2019г.,«АЛИСА-БЕСТ ЯРОСЛАВЛЬ»,КЛК Алиса-Бест Ярославль;
14-15 декабря 2019г.,«НОВОГОДНЯЯ»,КЛК Lord Cats;
7-8 декабря 2019г.,«ЗИМНЕЕ ТАНГО»,КЛК Параллель;
7-8 декабря 2019г.,«ЗИМНИЙ КАРНАВАЛ»,КЛК Kaluga Best;
7-8 декабря 2019г.,«WINTER CAT SHOW»,"РосКош, Cristal Club, Edelweis Cat Club Avante, Elite Cats club	;"
7 декабря 2019г.,«БЛЕСК»,КЛК Зефир;
30 ноября 2019г.,«25 ЛЕТ МФА»,КЛК «Алиса Коломна»;
30 ноября - 1 декабря 2019г.,«ХРУСТАЛЬНЫЙ КУБОК Г КУРСКА»,КЛК Глория;
30 ноября - 1 декабря 2019г.,«СИНИЧКИНЫ ПОСИДЕЛКИ»,Клуб «Лой»;
30 ноября - 1 декабря 2019г.,«КЛУБУ КЭТ 30 ЛЕТ!»,КЛК Кэт	;
23-24 ноября 2019г.,«ФАВОРИТ»,КЛК Фаворит	;
23-24 ноября 2019г.,«ЗОЛОТАЯ КОШКА КИРОВА»,"КЛК ""Магия кошек"";"
23-24 ноября 2019г.,«КОТ-ИНФО »,КЛК  Кот-Инфо ;
23-24 ноября 2019г.,«ПЛАНЕТА КОШЕК»,КЛК Мега Кет	;
23-24 ноября 2019г.,«МЯГКИЙ КОТ 2019»,Фелинологическая ассоциация заводчиков «Алиса»;
23-24 ноября 2019г.,«CAT LAND + FELICITY	»,"КЛК Cat Land, КЛК FeliCity	;"
23-24 ноября 2019г.,«ПРЯНИЧНЫЕ КОШКИ XIV СЕЗОН»,КЛК Микс;
16-17 ноября 2019г.,«ОСЕННИЙ КАРНАВАЛ»,КЛК Мяу-клуб	;
16-17 ноября 2019г.,«ОСЕННИЙ КАРНАВАЛ»,КЛК Царство Кошек;
16-17 ноября 2019г.,«КУБОК МОСКВЫ»,КЛК Dennis;
16-17 ноября 2019г.,«VIP SHOW 2019»,КЛК Бисер	;
16-17 ноября 2019г.,«ЗОЛОТАЯ КОШКА СМОЛЕНСКА»,СГОО ФПЦ Кэтти;
16-17 ноября 2019г.,«ОСЕННЯЯ ПРЕЛЕСТЬ»,"Фелинологический Центр ""Фелиссента"";"
10 ноября 2019г.,«УДИВИТЕЛЬНЫЕ КОШКИ»,КЛК Гранд +;
9-10 ноября 2019г.,«КОТООСЕНЬ»,КЛК Талисман;
9-10 ноября 2019г.,«ЕНИСЕЙСКИЙ МЕРИДИАН»,"РОО ""Ковчег"";"
9 ноября 2019г.,«КУБОК РОССИЙСКИХ СИСТЕМ»,ФЦ КЛК Орбита;
9 ноября 2019г.,«КУБОК РОССИЙСКИХ СИСТЕМ»,КЛК Кэт Стронг;
9-10 ноября 2019г.,«ЖЕМЧУЖНЫЙ ЮБИЛЕЙ»,МОКЛК Валенсия	;
3-4 ноября 2019г.,«АЛЬФА КОТ»,КЛК Альфа Кот;
3-4 ноября 2019г.,«МОЙ ЛАСКОВЫЙ И НЕЖНЫЙ ЗВЕРЬ»,ЧГООЛК Кэт;
2-3 ноября 2019г.,«ЗОЛОТАЯ КОШКА ДАЛЬНЕГО ВОСТОКА»,КЛК ЭльГранд;
2-3 ноября 2019г.,«ЗОЛОТАЯ КОШКА КАЛУГИ»,КЛК Kis-Kis;
2-3 ноября 2019г.,«У ЛУКОМОРЬЯ»,ФЦ Алиса;
2-3 ноября 2019г.,«БАСТЕТ ШОУ»,КЛК Баст	;
31 октября - 1 ноября 2019г.,«РЕКЛАМНАЯ»,КЛК Ак Барс;
27 октября 2019г.,«CFA СAT FESTIVAL»,"клуб ""Chatte noir"";"
26-27 октября 2019г.,«ОКТЯБРЬСКИЕ СМОТРИНЫ»,"КЛК Элитар-Клуб, при содействии КЛК ЛЮКС;"
26-27 октября 2019г.,«ГРАНДИОЗНАЯ КОТОЯРМАРКА»,Грандиозные Кошки/Grandicats;
26-27 октября 2019г.,«ОСЕННИЙ МАРАФОН»,"клуб ""HUNTER"";"
26-27 октября 2019г.,«ЕВРАЗИЯ»,КЛК Евразия;
20 октября 2019г.,«ПУШИСТЫЙ КОТ»,ФАЗ Алиса;
19 октября 2019г.,«АЛЕКСАНДРОВСКАЯ СЛОБОДА»,ОФО Фрея;
19-20 октября 2019г.,«РОСКОШНАЯ ОСЕНЬ»,"КЛК «Мандарин» и КЛК ""Премьер"" (г.Ижевск);"
19-20 октября 2019г.,«ЗОЛОТАЯ КОШКА НИЖНЕГО НОВГОРОДА»,ФПЦ Грация-НН;
19-20 октября 2019г.,«СУПЕРКУБОК СИБИРИ»,КЛК Зоостар;
19 октября 2019г.,«АМИГО»,КЛК Амиго;
19-20 октября 2019г.,«МИР 1000 КОШЕК»,Кэт-клуб СПб	;
19 октября 2019г.,«25 ЛЕТ МФА»,КЛК Конфетти;
12-13 октября 2019г.,"«ЗДРАВСТВУЙТЕ, Я ВАША МОТЯ!»",КЛК Матильда;
12-13 октября 2019г.,«ЗОЛОТАЯ ОСЕНЬ В НИЖНЕМ»,КЛК Altera Cat Club	;
12-13 октября 2019г.,«ЗОЛОТО ОСЕНИ»,АКЛК Котофей;
12 октября 2019г.,«МФА 25 ЛЕТ!»,ФЦ Идеальный Кот;
12-13 октября 2019г.,«LORD CATS»,КЛК Lord Cats	;
5-6 октября 2019г.,«ВЛАДИМИРСКАЯ ОСЕНЬ 2019»,КЛК Мономах;
5-6 октября 2019г.,«ОКТОБЕРКОТ»,КЛК Параллель;
5-6 октября 2019г.,«БОЛЬШОЙ КУБОК ЭЛИТЫ СИБИРИ»,КЛК Элита Сибири	;
5-6 октября 2019г.,«ЗОЛОТАЯ КОТООСЕНЬ»,РФОО Коргоруши	;
5-6 октября 2019г.,«ИМЕНИНЫ ДОБРОГО КОТА-2019»,КЛК Добрый кот;
5-6 октября 2019г.,«ОСЕННИЕ СМОТРИНЫ»,КЛК РосКэт;
5-6 октября 2019г.,«КУБОК ТВЕРИ - 2019»,Фелинологический Клуб «ТРИУМФ»;
28-29 сентября 2019г.,«КУБОК ВЕЛИКОГО НОВГОРОДА»,АКЛК Котофей	;
28-29 сентября 2019г.,«КЭТ-ПАРАД XI»,КЛК Амулет-Кэт;
28-29 сентября 2019г.,«КУБОК РОССИИ ОСЕННИЙ ЭТАП»,"Клуб ""Зоомир"";"
21-22 сентября 2019г.,«КУБОК БЕЛОГО ГОРОДА»,БРОО КЛК Кошки Белогорья;
21-22 сентября 2019г.,«ВЫБИРАЕМ КОРОЛЕВУ КРАСОТЫ»,Вариета-Юг;
21-22 сентября 2019г.,«НАЙДИ ДРУГА»,Вариета-Юг;
21 сентября 2019г.,«ЗОЛОТАЯ ОСЕНЬ НА ОРБИТЕ»,ФЦ КЛК Орбита;
21-22 сентября 2019г.,«КЭТ-САЛОН-СЕНТЯБРЬ»,КЛК Москва;
21-22 сентября 2019г.,«ОСЕННИЙ ВЕРНИСАЖ»,КЛК Felidae;
21-22 сентября 2019г.,«ВСЕМИРНАЯ »,НП КЛК Котомир	;
14-15 сентября 2019г.,«СЕНТЯБРЕЦ»,"ФЦ ""Кузбасс Кот"";"
14-15 сентября 2019г.,«СНЕЖНЫЙ БАРС + ЛАТОНА»,"КЛК Снежный Барс, КЛК Латона-Сочи;"
14-15 сентября 2019г.,«КУБОК ВАЛЕНСИИ»,МОКЛК Валенсия;
14-15 сентября 2019г.,«ОСЕННИЙ ТАЛИСМАН»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «CAT LAND»;
14-15 сентября 2019г.,«ВСЕМИРНАЯ»,"КЛК ""Диамант-Кристалл"" (г. Сочи, Россия) совместно с УРОФО ""Грация"" (г. Екатеринбург, Россия) и БФЦ ""Фелита"" (г. Минск);"
14 сентября 2019г.,«КОТ УЧЕНЫЙ 2»,Тульский филиал КЛК Альфа;
7-8 сентября 2019г.,«СЕЗОН РУССКОЙ КОШКИ - 2019»,ОБЪЕДИНЕНИЕ ЛЮБИТЕЛЕЙ СИБИРСКИХ КОШЕК ИМ. Т.Е. ПАВЛОВОЙ;
7-8 сентября 2019г.,"«АХ, САМАРА - ГОРОДОК!!!»",КЛК Lord Cats;
31 августа - 1 сентября 2019г.,«РОСКОШНАЯ ОСЕНЬ В СОКОЛЬНИКАХ»,РОО РосКош;
25 августа 2019г.,«ЮБИЛЕЙ FARUS»,ФПЦ Леопольд;
24 августа 2019г.,«ГРАЦИЯ»,УРОФО Грация	;
24-25 августа 2019г.,«КЭТ-САЛОН-АВГУСТ»,КЛК Москва;
24-25 августа 2019г.,«ЖЕМЧУЖИНКА КАВКАЗА - 2019»,Фелинологическая Ассоциация Заводчиков «Королевские Кошки»;
24-25 августа 2019г.,«УТОМЛЕННЫЕ СОЛНЦЕМ»,КЛК Альфа Кот;
17-18 августа 2019г.,«ЗОЛОТОЙ РОГ»,КЛК Золотой Рог;
17-18 августа 2019г.,«ГОРОДСКИЕ КОШКИ»,КЛК Просто кошки	;
17 августа 2019г.,«ASIA CONTINENT SHOW»,"КЛК ""Камея"";"
17-18 августа 2019г.,«ЗООФЕСТИВАЛЬ-2019»,КООО КЛК Жемчужина Сибири;
17-18 августа 2019г.,«СУПЕР КОТ»,КЛК Супер Кот;
10-11 августа 2019г.,«ЛЕТНИЙ АЛЬЯНС-2019»,ФК Альянс;
10-11 августа 2019г.,«ЗВЕЗДА»,ВФЦ АСТРА;
27-28 июля 2019г.,«ЖЕМЧУЖНЫЙ РЕНЕССАНС»,КЛК Жемчужина;
14 июля 2019г.,«ИЮЛЬ НА ОРБИТЕ»,ФЦ КЛК Орбита;
14 июля 2019г.,«СЕРЕДИНА ЛЕТА»,КЛК Лигра;
13-14 июля 2019г.,«ЛЕТНИЙ КАРНАВАЛ»,КЛК Царство Кошек;
13-14 июля 2019г.,«ЛЕТНИЙ КУБОК КОТ-ИНФО»,КЛК Кот-Инфо;
13 июля 2019г.,«КОТОФЕИ УДАЧИ»,КЛК TRI-S CAT CLUB;
6-7 июля 2019г.,«ЛЕТО АНАПЫ -2019»,Клуб Любителей Кошек «КэтЛэнд-Юг»;
6-7 июля 2019г.,«TOP CAT БЕЛАРУСИ»,БФЦ Фелита;
6-7 июля 2019г.,«ЛЕТНИЙ ЭТАП КУБКА РОССИИ 2019»,"Клуб ""Савой"";"
29-30 июня 2019г.,«КОШКИ И ГОРОД»,КЛК Королевская династия	;
29-30 июня 2019г.,«КУБОК НЕВЫ»,КЛК ФелиСити;
22-23 июня 2019г.,«ХРУСТАЛЬНЫЙ КУБОК МОСКВЫ»,РОО ОКЛК Созвездие;
22-23 июня 2019г.,«ЗОЛОТАЯ КОШКА 2019»,"Cat Land, Cat Land IL	;"
22-23 июня 2019г.,«ЛЕТНИЙ ГЛАМУР»,"СГОО ФПЦ ""Кэтти"";"
15-16 июня 2019г.,«ЮЖНАЯ ЗВЕЗДА»,КЛК Черная пантера	;
15-16 июня 2019г.,«АВГУСТЕЙШАЯ ОСОБА»,КЛК Августин;
15-16 июня 2019г.,«БЕЛАЯ ЛИСА	»,КЛК Белая Лиса	;
15-16 июня 2019г.,«ОТКРЫТИЕ ЛЕТНЕГО СЕЗОНА В СОЧИ»,КЛК Диамант-Кристалл	;
12 июня 2019г.,«ФЕЛИСИТИ»,КЛК ФелиСити;
11-12 июня 2019г.,«КИСА НАША-КРАСА КУЗБАССА!»,"КЛК ""ФЦ ""Кузбасс Кот"";"
9 июня 2019г.,«ЕЁ ВЕЛИЧЕСТВО КОШКА»,Элита Сибири;
8-9 июня 2019г.,«КОРГОРУШИ»,РФОО «Коргоруши»;
1-2 июня 2019г.,«4 ОЦЕНКИ ЗА 2 ДНЯ»,"КЛК ""Магия кошек"";"
1 июня 2019г.,«25 ЛЕТ МФА»,Клуб Любителей Кошек «МагияКис»;
1-2 июня 2019г.,«БОМОНД КОШЕК»,КЛК Зоомир;
1 июня 2019г.,«ЗОЛОТАЯ КОШКА НА ОРБИТЕ»,ФЦ КЛК Орбита;
1-2 июня 2019г.,«ЛЕТНИЙ ГЛАМУР-Р-Р»,КЛК Добрый кот;
1-2 июня 2019г.,«ЛЕТНЕЕ НАСТРОЕНИЕ»,КЛК Фаворит-Лайн;
25 мая 2019г.,«КОШКИ НА КАНИКУЛАХ »,Тульский филиал КЛК Альфа ;
19 мая 2019г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ»,"Центр любителей собак, кошек и других домашних животных  ”Ковчег”;"
18 мая 2019г.,«ДЕМАРИС»,КЛК Демарис	;
18-19 мая 2019г.,«ФАВОРИТ»,КЛК Фаворит;
